Objects
100
,,Global Angle fuselage:fuselage,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
303,0,0.278551,-0.365224,-0.009219,6376.415527,61.736275,1688.221313
304,0,0.276966,-0.368774,-0.009463,6398.451660,62.503002,1688.412598
305,0,0.275389,-0.368938,-0.009612,6420.499023,63.013336,1688.800049
306,0,0.273320,-0.371085,-0.009990,6442.414062,64.038734,1689.371094
307,0,0.272130,-0.372310,-0.010118,6464.312500,64.876778,1689.675659
308,0,0.271253,-0.373565,-0.010516,6486.085449,65.809219,1690.006348
309,0,0.269985,-0.373546,-0.010636,6507.966797,66.883034,1690.727905
310,0,0.269476,-0.374617,-0.010652,6529.817383,67.677895,1691.054565
311,0,0.268391,-0.374625,-0.010574,6551.543457,68.708595,1692.033447
312,0,0.266944,-0.375116,-0.010639,6573.231934,69.779274,1692.870117
313,0,0.265631,-0.373859,-0.010255,6595.233887,70.466583,1694.018066
314,0,0.263477,-0.375666,-0.010012,6616.957031,71.101463,1694.867310
315,0,0.261806,-0.374009,-0.009328,6638.984375,71.491943,1695.895874
316,0,0.259788,-0.373049,-0.008959,6660.970703,71.897453,1697.153198
317,0,0.256631,-0.370912,-0.008746,6683.235840,71.975731,1698.116699
318,0,0.253785,-0.370434,-0.007009,6705.268555,72.313469,1699.675903
319,0,0.250836,-0.367502,-0.006455,6727.353516,72.428001,1701.049683
320,0,0.247942,-0.365490,-0.006159,6749.223145,72.464256,1702.128174
321,0,0.244306,-0.363905,-0.005600,6771.374512,72.572479,1703.448364
322,0,0.241283,-0.360594,-0.005267,6793.733887,72.438980,1704.689819
323,0,0.237719,-0.358549,-0.004758,6816.086914,72.302155,1705.862549
324,0,0.233665,-0.356594,-0.004388,6838.577148,72.006332,1707.032471
325,0,0.229817,-0.355037,-0.003593,6861.346680,71.403091,1708.406372
326,0,0.225865,-0.353923,-0.003787,6883.902832,70.904228,1709.580811
327,0,0.221314,-0.353557,-0.003776,6906.617188,70.244209,1711.061890
328,0,0.216056,-0.352390,-0.004036,6929.628906,69.603012,1712.137207
329,0,0.211227,-0.353360,-0.005386,6952.704590,68.829803,1713.214722
330,0,0.209274,-0.352746,-0.005022,6976.017578,67.799423,1714.209351
331,0,0.206450,-0.353035,-0.005490,6999.312500,66.861679,1714.923462
332,0,0.201192,-0.349446,-0.006596,7023.105957,66.182426,1714.742310
333,0,0.197841,-0.348534,-0.006678,7046.599121,65.221161,1715.395386
334,0,0.190934,-0.349124,-0.009345,7070.252930,64.567963,1714.926514
335,0,0.193242,-0.348481,-0.009065,7093.222168,63.378326,1715.657837
336,0,0.191678,-0.347283,-0.008508,7116.449219,62.643177,1716.138184
337,0,0.188645,-0.347644,-0.009999,7139.658691,62.113308,1715.779541
338,0,0.186161,-0.347910,-0.010320,7162.713379,61.383759,1715.605957
339,0,0.184298,-0.348937,-0.010954,7186.250000,61.035934,1715.964111
340,0,0.180750,-0.350396,-0.011163,7209.676270,60.550877,1715.805054
341,0,0.176648,-0.352778,-0.011214,7232.639160,59.984261,1715.536499
342,0,0.171591,-0.354923,-0.010933,7255.751953,60.058903,1715.048706
343,0,0.167227,-0.357583,-0.011014,7278.931152,59.437004,1714.520752
344,0,0.161593,-0.359398,-0.010276,7301.890137,59.043751,1713.826172
345,0,0.156097,-0.362484,-0.009989,7325.029785,58.612259,1713.646973
346,0,0.156335,-0.363097,-0.007495,7348.525879,57.733906,1712.836792
347,0,0.150531,-0.365554,-0.007884,7371.709961,57.302177,1712.893433
348,0,0.143015,-0.369210,-0.007335,7395.037598,56.986530,1713.536499
349,0,0.139378,-0.372739,-0.006087,7418.357422,56.476524,1713.776733
350,0,0.134807,-0.375466,-0.006131,7441.885742,55.870144,1714.192017
351,0,0.127034,-0.378196,-0.006152,7465.170898,55.679516,1715.737915
352,0,0.123163,-0.380157,-0.006304,7488.832031,55.345772,1716.753174
353,0,0.120010,-0.382609,-0.006706,7512.572266,54.856251,1717.827271
354,0,0.116901,-0.383771,-0.006739,7536.213867,54.275192,1719.109375
355,0,0.114368,-0.385604,-0.006655,7559.896484,53.631950,1720.538452
356,0,0.112534,-0.387200,-0.007213,7583.773926,53.069870,1722.308472
357,0,0.111773,-0.389342,-0.006952,7607.425293,52.771873,1723.847656
358,0,0.113813,-0.390539,-0.007487,7631.296875,52.031124,1725.349487
359,0,0.110008,-0.390779,-0.008149,7654.899414,51.897606,1727.770508
